gene,label,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS,Intron,CADD_mean,CADD_var,EVE_mean,EVE_var
ATM,1.0,9171.0,0.1312910284463894,0.1334792122538293,0.0306345733041575,0.5754923413566739,0.0262582056892779,0.12472647702407,0.0043763676148796,0.0,18.665663115450307,582.0,0.01619721,0.0014479221073489,135.0,9.799827357883975,0.8952428963760988,0.0337647348884151,0.0271034900516849,-0.0257432396251673,0.139497267818149,6.0,0.0,406.0,50.0,10.0,2,23.97694334975369,108.967255944931,0.5194398275862068,0.0630608297152048
ATRX,1.0,7479.0,0.1235294117647058,0.1313725490196078,0.0176470588235294,0.5215686274509804,0.0,0.1980392156862745,0.0078431372549019,0.0,19.065179701901016,443.1524831243973,0.007779237,0.0002268819396966,47.0,10.415047596872416,0.8323240095284767,0.2268484617191789,0.2027284379596964,0.0103852852852852,0.0985794999048746,54.0,3.0,452.0,88.0,30.0,1,22.178513274336268,92.863097155034,0.4103664552020959,0.061054630203009
AXIN1,1.0,2589.0,0.1983471074380165,0.0909090909090909,0.0413223140495867,0.5454545454545454,0.0,0.1157024793388429,0.0082644628099173,0.0,20.46263107319909,205.0,0.04011333,0.0002960353355196,58.0,9.905169782952605,0.6206975846716739,0.0898375059772941,0.1442194331846389,0.0136540213902524,0.0596380750520646,17.0,1.0,122.0,16.0,1.0,0,18.57824590163933,153.82666805473522,0.4103664552020959,0.061054630203009
B2M,1.0,360.0,0.0617283950617283,0.1728395061728395,0.037037037037037,0.1975308641975308,0.1234567901234567,0.382716049382716,0.0123456790123456,0.1358024691358024,19.360510627528207,428.0,0.03622573,3.998140923543063e-05,21.0,15.384393494681838,1.024415404474056,0.0230565856209849,0.0147843533851339,-0.0418531034482758,0.1364102387982269,2.0,14.0,70.0,29.0,5.0,7,18.178685714285702,119.0874448273292,0.4103664552020959,0.061054630203009
BAP1,1.0,2190.0,0.2133333333333332,0.1,0.0466666666666666,0.4066666666666667,0.0,0.2,0.0266666666666666,0.0066666666666666,20.04047167340235,229.0,0.06225371,0.0002995159707582,45.0,10.809804434629722,0.5637640054450616,0.0940844463800281,0.0683736853721855,-0.0968382882882882,0.2182441667646578,2.0,5.0,123.0,29.0,6.0,0,23.701861788617894,101.19060869385584,0.3739462000000001,0.1250231308522
BCL2,1.0,720.0,0.375,0.0416666666666666,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,17.660089930924165,522.0,0.06028997,0.0007526383285131,96.0,8.660946561894683,1.7397245157703405,0.2950140982773622,0.3327604758416823,-0.0066074074074074,0.1960106326026179,19.0,20.0,67.0,1.0,0.0,5,14.64655223880597,54.3830957055631,0.4103664552020959,0.061054630203009
BCOR,1.0,5268.0,0.2210526315789473,0.087719298245614,0.0,0.6070175438596491,0.0561403508771929,0.0842105263157894,0.0,0.0,18.524913160575245,443.1524831243973,0.0421931,2.8665848400603443e-05,34.0,9.789134995439117,0.8059430709799377,0.750113261248558,0.2001776559384184,0.00365734870317,0.0720453897266638,16.0,1.0,277.0,18.0,8.0,0,20.11435379061373,101.25468544684249,0.3099680999999999,0.0539853502676555
BRAF,1.0,2301.0,0.0478260869565217,0.0195652173913043,0.0108695652173913,0.9,0.7130434782608696,0.008695652173913,0.0130434782608695,0.0,18.219356201577583,616.0,0.02459647,4.782796146716341e-05,42.0,7.14661658660774,0.8117269432001526,0.0552247572427505,0.059545368190463,0.0866897619047619,0.2042230644125157,6.0,0.0,454.0,11.0,1.0,0,27.625579295154072,26.99572804998977,0.2800965555555554,0.0599250902552777
BRCA1,1.0,5655.0,0.1948717948717948,0.0769230769230769,0.0205128205128205,0.6205128205128205,0.0,0.082051282051282,0.0,0.0051282051282051,20.48367999873901,201.0,0.02652095,0.0116286426009836,560.0,8.213568995815526,1.2361213502451442,0.3711221504752317,0.3900604385805416,-0.0015741830065359,0.1537146140377581,0.0,0.0,181.0,10.0,7.0,1,16.785022099447513,113.67249262173117,0.3216624,0.0530256416007789
BRCA2,1.0,10257.0,0.1403940886699507,0.083743842364532,0.0073891625615763,0.6773399014778325,0.0,0.0862068965517241,0.0049261083743842,0.0,17.755650444743303,462.0,0.04401204,0.0003139680842848,67.0,6.532993000049987,1.731478629341772,0.4332591225213526,0.4097351145810391,-0.0206473604826546,0.1535702478180693,2.0,1.0,373.0,24.0,13.0,1,15.679646112600516,126.8398595088356,0.4103664552020959,0.061054630203009
CARD11,1.0,3465.0,0.2684824902723735,0.0194552529182879,0.0233463035019455,0.6264591439688716,0.0155642023346303,0.0544747081712062,0.0077821011673151,0.0,19.277307380911427,558.0,0.02412943,1.3015204391005658e-05,21.0,7.4177189413717874,2.062174324498702,0.4807840252067504,0.3480796238311657,0.067636312849162,0.2030872474529728,15.0,7.0,263.0,15.0,2.0,0,17.031593155893525,93.8102386086552,0.3950088,0.0371669162435111
CASP8,1.0,1617.0,0.0758620689655172,0.2206896551724138,0.0620689655172413,0.5241379310344828,0.1034482758620689,0.096551724137931,0.0206896551724138,0.0,19.12497572994381,386.0,0.03690582,0.0007150484070716,102.0,8.946988178082245,1.121512758915858,0.3356404501203198,0.3077081281060611,0.0042325490196078,0.1409304180951823,4.0,4.0,137.0,12.0,6.0,1,22.71686131386861,117.18036063503652,0.6799832307692307,0.0639902692686922
CBL,1.0,2721.0,0.2659574468085106,0.0319148936170212,0.0319148936170212,0.6489361702127661,0.0851063829787234,0.0,0.0212765957446808,0.0,20.161542799608764,183.0,0.05260533,0.0023208892274712,227.0,9.560654826754677,0.8666421643065643,0.0313834569180142,0.0195622219894562,-0.0395636363636363,0.150031790203361,24.0,1.0,115.0,5.0,0.0,0,19.613356521739124,112.7163765823036,0.6180863571428572,0.0526720153625344
CDC73,1.0,1596.0,0.1764705882352941,0.0588235294117647,0.0235294117647058,0.7058823529411765,0.0823529411764705,0.0352941176470588,0.0,0.0,18.12557894470142,442.0,-0.01162817,0.0002340803594243,73.0,9.865774878581986,0.6085924134311897,0.0525054928129271,0.0148875772036285,0.0668629629629629,0.182657756774081,13.0,5.0,102.0,3.0,1.0,3,21.793960784313725,85.26778090933797,0.4949101999999999,0.0607043793000631
CDH1,1.0,2649.0,0.1170212765957446,0.0957446808510638,0.0744680851063829,0.4840425531914894,0.0425531914893617,0.202127659574468,0.026595744680851,0.0,19.817683989283854,240.0,0.03016505,0.0003955852118762,86.0,11.517233932201558,3.323643316623781,0.1653712916015699,0.1573466069857362,-0.0889719745222929,0.1979834202459378,15.0,0.0,154.0,33.0,18.0,0,21.78,135.84298402614374,0.537315090909091,0.1176833110538985
CDKN2A,1.0,504.0,0.0421940928270042,0.2784810126582278,0.0464135021097046,0.4388185654008439,0.2447257383966245,0.1476793248945147,0.0421940928270042,0.0042194092827004,17.782163192812593,357.0,-0.01478296,0.0009592487914759,141.0,7.137954921094968,2.629239238307295,0.1758839252941799,0.2276824424632731,-0.0928934831460674,0.2237790726883568,10.0,1.0,207.0,40.0,9.0,0,28.29574879227055,90.83605528610286,0.335829,0.061054630203009
CEBPA,1.0,1077.0,0.4,0.0,0.0,0.5,0.0,0.0,0.0,0.1,18.438345976105342,510.0,-0.009470627,0.0006817883818713,94.0,9.16148515466311,1.6926597911426642,0.042194833101478,0.0831209537076703,-0.0396666666666666,0.1215212281409667,11.0,1.0,22.0,0.0,0.0,0,18.29409090909091,37.35500627705628,0.8531839999999999,0.0017274266419999
CIC,1.0,4827.0,0.172,0.0559999999999999,0.004,0.608,0.076,0.16,0.0,0.0,19.592931088276732,299.0,0.0368695,2.380479005446577e-05,14.0,10.78664895015334,0.6394768529617608,0.0600015484081103,0.0699133439412889,-0.0835261845386533,0.2360612733501973,8.0,0.0,219.0,29.0,13.0,1,22.09412785388128,72.11770653403714,0.4103664552020959,0.061054630203009
CREBBP,1.0,7329.0,0.2300242130750605,0.0944309927360774,0.0266343825665859,0.5859564164648909,0.0217917675544794,0.0605326876513317,0.0024213075060532,0.0,19.28295152895421,242.0,0.03916608,0.0033700960949804,305.0,11.1029808356659,0.5802206078496138,0.531254325080462,0.1748497658401085,-0.0026969798657718,0.1153571042500023,14.0,1.0,404.0,23.0,6.0,3,22.864054455445533,115.23101919801972,0.3766233,0.0597555588260105
CSF1R,1.0,2919.0,0.2857142857142857,0.0714285714285714,0.0214285714285714,0.5785714285714286,0.0,0.0428571428571428,0.0,0.0,20.10519494185445,228.0,0.04952843,7.347187808066476e-06,17.0,9.634024924312987,1.557340987133699,0.7250784390650951,0.2099858062557358,-0.0188358974358974,0.1413787059858941,2.0,2.0,137.0,6.0,1.0,0,15.96380291970803,127.55868651234437,0.274977,0.0367375845856
CTNNB1,1.0,2346.0,0.0648854961832061,0.0267175572519084,0.0038167938931297,0.8473282442748091,0.4732824427480916,0.0343511450381679,0.0229007633587786,0.0,18.22228643682033,448.0,0.007941789,0.0051646339980255,276.0,12.953435052298946,0.7655223295732618,0.0462839490740522,0.0206345399295428,-0.009106976744186,0.1034275936022107,9.0,1.0,260.0,16.0,1.0,5,25.791261538461534,31.84425312824473,0.67536498630137,0.0390666211658192
CYLD,1.0,2871.0,0.1707317073170731,0.1056910569105691,0.040650406504065,0.6016260162601627,0.0,0.073170731707317,0.0,0.008130081300813,18.093133825721207,792.0,0.002405956,0.0003255804796621,45.0,9.95238001653222,0.7893795251492716,0.2700440570750071,0.0947324593185327,-0.0324288659793814,0.1473995362627256,19.0,3.0,137.0,8.0,2.0,2,20.304270072992686,136.96984999270066,0.47969304,0.06214869583779
DAXX,1.0,2259.0,0.2222222222222222,0.037037037037037,0.0,0.6944444444444444,0.0,0.0462962962962962,0.0,0.0,20.474523897639767,262.0,0.03001948,0.0007940137148746,117.0,10.545412463239686,0.4864469612397165,0.0515238620872841,0.0336190294906731,0.0195641025641025,0.1537052536298788,0.0,13.0,116.0,2.0,4.0,0,19.000646551724152,66.09299793485755,0.4103664552020959,0.061054630203009
DNMT1,1.0,4899.0,0.3210526315789473,0.0052631578947368,0.0157894736842105,0.631578947368421,0.0526315789473684,0.0210526315789473,0.0052631578947368,0.0,20.69917421764215,200.0,0.02303083,0.0002999617051203,80.0,10.684795630915962,0.8940227832507814,0.0550564360284654,0.0336169070778647,0.0002115226337448,0.0751184668690713,1.0,0.0,187.0,3.0,2.0,1,17.293914438502668,94.06404693887644,0.4640454,0.0980241322740444
DNMT3A,1.0,2739.0,0.2456140350877193,0.0643274853801169,0.0409356725146198,0.5847953216374269,0.0467836257309941,0.0643274853801169,0.0,0.0,18.332755128663496,286.0,0.04312737,0.0003154641560737,52.0,9.106617190434523,0.8947747943247302,0.3525982879554382,0.3494279333251125,0.0215570815450643,0.1148032889499006,22.0,4.0,188.0,12.0,5.0,8,21.95274468085107,97.90298979542612,0.1883233333333333,0.0239645143514666
EGFR,1.0,3633.0,0.2038216560509554,0.0509554140127388,0.0063694267515923,0.6751592356687898,0.1464968152866242,0.0063694267515923,0.0573248407643312,0.0,18.691968718261467,336.0,-0.01337574,0.0179367157403319,800.0,8.947695426755525,2.5177085018311938,0.1089948133211109,0.1228836131017698,0.5123443496801705,1.0393655560275992,5.0,0.0,344.0,20.0,3.0,47,18.97325872093024,142.06561286289758,0.4366926024096385,0.0651298929097302
EP300,1.0,7245.0,0.1402985074626865,0.1313432835820895,0.035820895522388,0.6208955223880597,0.0238805970149253,0.0597014925373134,0.0119402985074626,0.0,20.154617885629087,154.0,0.04216219,0.0078048310401166,468.0,10.97551674304204,0.7434776892059651,0.0550209740055126,0.0213401113507413,-0.0002457875457875,0.1495210454474746,13.0,10.0,331.0,19.0,8.0,0,24.905522658610263,97.95365156539415,0.5644993157894734,0.0686009756794456
ERBB2,1.0,3768.0,0.2222222222222222,0.0044444444444444,0.0088888888888888,0.7155555555555555,0.2222222222222222,0.0311111111111111,0.0177777777777777,0.0,20.293329069682787,226.0,0.03763767,0.0006619838994493,122.0,11.627156032715016,1.7473684075343685,0.0851019656081038,0.1338350517693834,0.0885263803680981,0.4663377456805395,1.0,1.0,225.0,7.0,5.0,10,20.713746666666648,71.27284781499995,0.4103664552020959,0.061054630203009
EZH2,1.0,2256.0,0.221153846153846,0.0576923076923077,0.0096153846153846,0.6923076923076923,0.0384615384615384,0.0192307692307692,0.0,0.0,19.10615855704124,434.0,0.01332411,0.0014027857644103,244.0,8.365248750113956,1.3856177377022738,0.0608888501147769,0.0196399078914449,0.0202145569620253,0.121434653378924,2.0,0.0,104.0,1.0,1.0,0,23.273000000000003,88.56106605825244,0.5404871666666666,0.0360057819549666
FBXW7,1.0,2124.0,0.0647482014388489,0.2122302158273381,0.014388489208633,0.5971223021582733,0.316546762589928,0.1007194244604316,0.0107913669064748,0.0,16.839796750122435,501.0,0.05094051,0.0008262700665131,96.0,8.596637697799856,0.6962153281034441,0.0524146373299129,0.0251669206864828,-0.03044,0.1412022691324869,16.0,4.0,288.0,26.0,12.0,24,26.77579166666667,80.56456560104529,0.4103664552020959,0.061054630203009
FGFR2,1.0,2469.0,0.1758241758241758,0.0109890109890109,0.0109890109890109,0.7362637362637363,0.1758241758241758,0.0384615384615384,0.0274725274725274,0.0,17.639627579711057,386.0,-0.008783812,6.552224830111998e-05,21.0,8.738588254164487,2.5340105837177966,0.0877389264103097,0.0959773413357118,-0.0102925531914893,0.1618335377838513,0.0,4.0,207.0,8.0,6.0,14,22.03771014492753,75.99940838159561,0.5445633809523811,0.0560964345669476
FGFR3,1.0,2427.0,0.256,0.008,0.008,0.7040000000000001,0.192,0.024,0.0,0.0,19.71295111397297,222.0,0.04176044,0.0003301336253256,38.0,8.606644267969727,2.6515749501874564,0.044867790937099,0.0646089568022527,0.0738614457831325,0.4238292443816146,25.0,0.0,152.0,4.0,1.0,7,18.242072368421045,87.34400690201296,0.3984484545454545,0.0753866964060682
FLT3,1.0,2982.0,0.216867469879518,0.0662650602409638,0.0662650602409638,0.6385542168674698,0.036144578313253,0.0120481927710843,0.0,0.0,18.400798152345704,614.0,0.04212426,5.362875833096068e-06,12.0,3.3117349301886745,2.313246019540289,0.2448900639467726,0.2389907200158859,-0.0147811965811965,0.1587703070969575,7.0,0.0,173.0,1.0,1.0,2,20.012364161849703,111.42024469801048,0.4103664552020959,0.061054630203009
FOXL2,1.0,1131.0,0.358974358974359,0.0256410256410256,0.0,0.5897435897435898,0.0,0.0256410256410256,0.0,0.0,18.39995044232605,340.0,0.02125854,1.163282766208387e-06,4.0,2.547664250832669,2.4855425587828006,0.208165387240055,0.2267301515019273,0.0626708333333333,0.195447401234464,4.0,2.0,44.0,1.0,0.0,0,20.388340909090918,64.97286460200844,0.2010806666666666,0.0097871693013333
FUBP1,1.0,1935.0,0.13,0.1,0.05,0.55,0.08,0.14,0.02,0.01,18.50996361596309,256.0,0.001174656,0.000201702617932,93.0,10.349128150692636,0.6827293596031186,0.0515941260233797,0.0344578121711342,-0.0703906976744185,0.2530283567746338,2.0,2.0,93.0,18.0,5.0,3,25.04047311827957,64.46958559981299,0.4103664552020959,0.061054630203009
GATA1,1.0,1242.0,0.3333333333333333,0.0175438596491228,0.0,0.5789473684210527,0.0526315789473684,0.0526315789473684,0.0,0.0175438596491228,19.651478673401908,443.1524831243973,0.02874381,0.00012836502501,56.0,0.9057282936264718,1.140434687729721,0.8288385366447341,0.1350580015816987,0.0006301587301587,0.0972944339015792,2.0,0.0,56.0,3.0,0.0,0,15.156732142857145,64.44273205422073,0.2542063076923077,0.0674358532313974
GATA2,1.0,1443.0,0.3571428571428571,0.0142857142857142,0.0142857142857142,0.5,0.0,0.1,0.0142857142857142,0.0,19.83888783173596,274.0,0.05183038,0.0001039434432943,31.0,7.39094657466365,2.112559381709541,0.3815962976147566,0.2305322800536743,0.0213035294117647,0.0692680801576001,12.0,0.0,73.0,7.0,2.0,0,18.2587397260274,86.93503227853881,0.22428475,0.02965204899025
GATA3,1.0,1335.0,0.217391304347826,0.0271739130434782,0.0108695652173913,0.4402173913043478,0.0543478260869565,0.3043478260869565,0.0,0.0,17.48095819234461,675.0,-0.002356654,1.3337528570575798e-05,21.0,6.786935966624032,3.269250407409172,0.193997563893134,0.2312485876287582,0.0048555172413793,0.123688912002324,19.0,0.0,161.0,32.0,36.0,2,19.119242236024853,89.09232658470499,0.2485007777777778,0.0215768900512418
GNA11,1.0,1080.0,0.2575757575757576,0.0151515151515151,0.0,0.696969696969697,0.2424242424242425,0.0303030303030303,0.0,0.0,19.9320532334389,173.0,0.0254863,0.0001113178591648,28.0,8.827308554720716,1.1063722784745127,0.1529061171292132,0.1304270515233665,-0.0057144329896907,0.1201557339882101,6.0,0.0,70.0,2.0,0.0,0,18.78737142857144,65.15200267163561,0.4589792631578947,0.0758403129120935
GNAQ,1.0,1080.0,0.1285714285714285,0.0571428571428571,0.0,0.7571428571428571,0.3714285714285713,0.0571428571428571,0.0,0.0,18.32545259503061,671.0,-0.02381614,0.0004070011286206,58.0,10.542959230520022,0.7320828641312909,0.0527927113747642,0.0438952267498411,0.003290756302521,0.1212161337901215,13.0,0.0,77.0,5.0,1.0,0,23.68083116883116,65.88532266848942,0.192024,0.0042060240909999
GNAS,1.0,3114.0,0.2756756756756757,0.0432432432432432,0.0054054054054054,0.6594594594594595,0.1135135135135135,0.0108108108108108,0.0,0.0054054054054054,19.96795233288861,416.0,0.01090913,0.0005434956438254,61.0,14.654856588463865,0.9020460874312484,0.4685391370309748,0.243222801260236,0.0871479999999999,0.2054287053359388,7.0,0.0,197.0,0.0,2.0,7,18.55815228426396,106.12699991546673,0.4321904035087719,0.0490933617806021
H3F3A,1.0,411.0,0.125,0.0416666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,19.725615557683728,237.0,0.02296758,0.0002366221848081,85.0,12.08271708204508,0.8165236557825056,0.076450391550414,0.0177122605437898,0.0694121951219512,0.1544903409959182,4.0,0.0,29.0,2.0,1.0,4,22.07196551724137,63.32733489162563,0.4103664552020959,0.061054630203009
HIST1H3B,1.0,411.0,0.1698113207547169,0.0943396226415094,0.0,0.6981132075471698,0.2075471698113208,0.0377358490566037,0.0,0.0,18.64145980587536,685.0,0.04269074,4.246889402966299e-06,21.0,1.061428612270371,1.2299801149890257,0.036856774263114,0.0425563645782398,0.0685358024691358,0.1444258110277477,0.0,0.0,51.0,1.0,1.0,0,24.16794117647059,88.78715709647058,0.4103664552020959,0.061054630203009
HNF1A,1.0,1896.0,0.2788461538461538,0.0384615384615384,0.0,0.5576923076923077,0.0576923076923077,0.125,0.0,0.0,20.2251321062884,380.0,0.03999632,7.079053887334713e-05,39.0,5.741788221476928,2.478841839948272,0.2700440570750071,0.0947324593185327,0.0217888111888111,0.1710925248005963,1.0,1.0,103.0,13.0,1.0,11,18.23394174757282,91.6290787416714,0.4103664552020959,0.061054630203009
HRAS,1.0,570.0,0.0579710144927536,0.0289855072463768,0.0,0.8840579710144928,0.7391304347826086,0.0144927536231884,0.0144927536231884,0.0,20.909779577906527,236.0,0.0415969,0.0002641874316532,65.0,9.418346179136684,0.9237512418583416,0.2700440570750071,0.0947324593185327,0.0118165289256198,0.1198927401817233,1.0,3.0,74.0,2.0,1.0,4,21.893743243243257,38.383046138652354,0.7204987999999999,0.0062169726961999
IDH1,1.0,1245.0,0.028169014084507,0.0070422535211267,0.0,0.9507042253521126,0.8345070422535211,0.0140845070422535,0.0,0.0,17.990193176431262,539.0,0.0167467,0.0001295934249323,50.0,11.305927438591585,1.1308636327631534,0.0533378483019908,0.0400671151541217,0.0123558011049723,0.0513364617070686,4.0,2.0,285.0,1.0,5.0,0,25.679161403508672,22.516853663998013,0.3677366666666666,0.0788947856226666
IDH2,1.0,1359.0,0.2181818181818181,0.0181818181818181,0.0,0.7090909090909091,0.2909090909090909,0.0181818181818181,0.0363636363636363,0.0,19.69967970392811,192.0,0.0381749,8.932250021729206e-06,14.0,11.41656288573244,1.0553152298369854,0.2700440570750071,0.0947324593185327,-0.0160118421052631,0.1080603412902464,3.0,0.0,54.0,3.0,2.0,1,18.990740740740737,69.63011068623335,0.4939378,0.1863752693371999
JAK1,1.0,3465.0,0.1793478260869565,0.0760869565217391,0.0380434782608695,0.5271739130434783,0.0,0.1684782608695652,0.0108695652173913,0.0,18.0395777456032,396.0,-0.005437463,0.0004724307824,78.0,11.69090419392892,0.6822184074792377,0.8826400873994142,0.0604871334846064,-0.0181275618374558,0.1236556938375139,7.0,2.0,162.0,25.0,9.0,3,21.91091358024692,123.01926971919325,0.4103664552020959,0.061054630203009
JAK2,1.0,3399.0,0.2127659574468085,0.1489361702127659,0.0496453900709219,0.5531914893617021,0.0212765957446808,0.0354609929078014,0.0,0.0,17.96401307865754,634.0,0.02805088,0.000521799820988,96.0,8.197169822213446,1.070619227244972,0.2700440570750071,0.0947324593185327,-0.0329464114832535,0.1938579134858668,9.0,3.0,146.0,5.0,3.0,1,24.19467123287671,116.26689746358043,0.5814446666666666,0.0961669863712307
JAK3,1.0,3375.0,0.2045454545454545,0.0303030303030303,0.0075757575757575,0.7196969696969697,0.053030303030303,0.0378787878787878,0.0,0.0,20.214144778923828,212.0,0.03707445,9.794002445051112e-05,48.0,8.05847147292443,1.5851938594374364,0.2700440570750071,0.0947324593185327,0.02828,0.1682125331240214,10.0,0.0,140.0,5.0,1.0,4,17.524557142857148,102.76370233484069,0.32426775,0.1022258452669166
KDM5C,1.0,4683.0,0.2722513089005236,0.06282722513089,0.0104712041884816,0.5602094240837696,0.0157068062827225,0.0732984293193717,0.0157068062827225,0.0052356020942408,19.742558950268496,443.1524831243973,0.08033672,9.738560877116848e-05,28.0,11.372814409756346,0.5421010190366213,0.2700440570750071,0.0947324593185327,0.0004699507389162,0.0816401260458712,6.0,2.0,183.0,13.0,6.0,0,20.78329508196721,71.56503770365697,0.3830827777777778,0.0712513898876944
KDM6A,1.0,4206.0,0.1434599156118143,0.1476793248945147,0.0590717299578059,0.4725738396624473,0.0126582278481012,0.1687763713080168,0.0084388185654008,0.0,15.85674161851601,443.1524831243973,0.03567596,0.000118776932965,23.0,9.171724578769124,0.8284467062307813,0.2700440570750071,0.0947324593185327,0.0012727828746177,0.1048051867977791,15.0,1.0,213.0,29.0,23.0,5,25.05781220657277,84.65234600230319,0.4118283333333333,0.0628125648607066
